Method,Total_Files,Total_Size_Bytes,Total_Size_Human,Total_Chunks,Unique_Chunks,Dedup_Ratio,Time_Seconds
Fixed-Size,70615,962634088,918.04 MB,117510,117504,0.01%,0.63
FastCDC (Proposed),70615,962634088,918.04 MB,111496,107718,3.39%,1.15
